instance,n_K,n_C,n_S,n_D,B,tier_used,rev_total,heur_profit,heur_runtime,heur_feasible,greedy_profit,greedy_runtime,greedy_feasible,ub_profit,ub_runtime,ub_status,opt_profit,opt_runtime,opt_status,n_accepted_h,n_accepted_g,n_upgrades_h,n_upgrades_g,scenario,block,seed
M4_high_demand_01.txt,300,20,8,5,4000,2,889600,-403100,0.0032112598419189453,True,-742100,0.0029997825622558594,True,274600.0,0.009508132934570312,ok,,,skipped,85,126,7,30,M4_high_demand,B,20923512
M4_high_demand_02.txt,300,20,8,5,4000,2,1028500,-653900,0.0029997825622558594,True,-936200,0.003999948501586914,True,13450.0,0.013000726699829102,ok,,,skipped,81,120,8,23,M4_high_demand,B,20923513
M4_high_demand_03.txt,300,20,8,5,4000,2,910400,-358000,0.0019998550415039062,True,-735100,0.00400090217590332,True,261800.0,0.01050710678100586,ok,,,skipped,93,129,13,42,M4_high_demand,B,20923514
M4_high_demand_04.txt,300,20,8,5,4000,2,979100,-494800,0.0020003318786621094,True,-849100,0.004000663757324219,True,144950.0,0.013000965118408203,ok,,,skipped,86,128,5,37,M4_high_demand,B,20923515
M4_high_demand_05.txt,300,20,8,5,4000,2,932500,-454700,0.002000570297241211,True,-713000,0.004001140594482422,True,175900.0,0.010507583618164062,ok,,,skipped,90,135,11,35,M4_high_demand,B,20923516
M4_high_demand_06.txt,300,20,8,5,4000,2,983500,-449000,0.002000093460083008,True,-752600,0.003999948501586914,True,166375.0,0.011000633239746094,ok,,,skipped,85,133,6,43,M4_high_demand,B,20923517
M4_high_demand_07.txt,300,20,8,5,4000,2,989200,-575000,0.0020003318786621094,True,-862100,0.0029990673065185547,True,132400.0,0.013003110885620117,ok,,,skipped,81,122,5,36,M4_high_demand,B,20923518
M4_high_demand_08.txt,300,20,8,5,4000,2,983700,-547200,0.002000093460083008,True,-814500,0.004000186920166016,True,146700.0,0.012630224227905273,ok,,,skipped,92,122,10,28,M4_high_demand,B,20923519
M4_high_demand_09.txt,300,20,8,5,4000,2,973700,-461800,0.002998828887939453,True,-808900,0.003999948501586914,True,141800.0,0.014002561569213867,ok,,,skipped,88,126,8,38,M4_high_demand,B,20923520
M4_high_demand_10.txt,300,20,8,5,4000,2,981700,-517400,0.0019998550415039062,True,-813500,0.004000186920166016,True,105550.0,0.014000415802001953,ok,,,skipped,88,129,12,36,M4_high_demand,B,20923521
M4_high_demand_11.txt,300,20,8,5,4000,2,961600,-532400,0.002000093460083008,True,-824900,0.004000663757324219,True,151300.0,0.010505437850952148,ok,,,skipped,81,121,6,24,M4_high_demand,B,20923522
M4_high_demand_12.txt,300,20,8,5,4000,2,904500,-393600,0.0020143985748291016,True,-822600,0.003999948501586914,True,246900.0,0.01300048828125,ok,,,skipped,92,127,15,43,M4_high_demand,B,20923523
M4_high_demand_13.txt,300,20,8,5,4000,2,839600,-316300,0.0020003318786621094,True,-627100,0.004999876022338867,True,363800.0,0.008000612258911133,ok,,,skipped,93,137,14,41,M4_high_demand,B,20923524
M4_high_demand_14.txt,300,20,8,5,4000,2,955800,-546300,0.002000093460083008,True,-925500,0.0039997100830078125,True,120000.0,0.013001203536987305,ok,,,skipped,78,123,6,36,M4_high_demand,B,20923525
M4_high_demand_15.txt,300,20,8,5,4000,2,953500,-535400,0.0020058155059814453,True,-820700,0.0040073394775390625,True,199000.0,0.012227773666381836,ok,,,skipped,80,116,4,28,M4_high_demand,B,20923526
M4_high_demand_16.txt,300,20,8,5,4000,2,989600,-512500,0.002000093460083008,True,-903400,0.003999948501586914,True,186800.0,0.013194799423217773,ok,,,skipped,91,126,9,38,M4_high_demand,B,20923527
M4_high_demand_17.txt,300,20,8,5,4000,2,925800,-516000,0.003000020980834961,True,-793200,0.0029997825622558594,True,213300.0,0.010000467300415039,ok,,,skipped,82,121,10,27,M4_high_demand,B,20923528
M4_high_demand_18.txt,300,20,8,5,4000,2,893500,-298100,0.003000497817993164,True,-671600,0.004000663757324219,True,347500.0,0.011304855346679688,ok,,,skipped,90,137,8,40,M4_high_demand,B,20923529
M4_high_demand_19.txt,300,20,8,5,4000,2,1014400,-561200,0.0020694732666015625,True,-809000,0.00432133674621582,True,25900.0,0.01334834098815918,ok,,,skipped,86,131,9,29,M4_high_demand,B,20923530
M4_high_demand_20.txt,300,20,8,5,4000,2,1024100,-575800,0.0024302005767822266,True,-835000,0.004019498825073242,True,114500.0,0.014525890350341797,ok,,,skipped,81,120,6,27,M4_high_demand,B,20923531
M4_high_demand_21.txt,300,20,8,5,4000,2,1014600,-557100,0.0020940303802490234,True,-838800,0.0030510425567626953,True,89400.0,0.010312795639038086,ok,,,skipped,90,143,7,36,M4_high_demand,B,20923532
M4_high_demand_22.txt,300,20,8,5,4000,2,982500,-496500,0.003000497817993164,True,-855900,0.003999471664428711,True,122400.0,0.01200103759765625,ok,,,skipped,88,123,7,35,M4_high_demand,B,20923533
M4_high_demand_23.txt,300,20,8,5,4000,2,1018900,-578300,0.0014128684997558594,True,-901700,0.003054380416870117,True,64900.0,0.018199682235717773,ok,,,skipped,86,128,6,39,M4_high_demand,B,20923534
M4_high_demand_24.txt,300,20,8,5,4000,2,887800,-416300,0.002010822296142578,True,-763100,0.006540536880493164,True,245200.0,0.010577201843261719,ok,,,skipped,85,126,7,32,M4_high_demand,B,20923535
